PosX,PosY,PosZ,SessionID,PlayerID,DateTime,
3.495886,-0.02265906,-34.87708,0,48230,22/12/2020 21:01:35,
2.301433,-0.02346456,-34.707,0,48230,22/12/2020 21:01:35,
1.270084,-0.02413452,-34.46038,0,48230,22/12/2020 21:01:35,
0.06230363,0.7274863,-34.14342,0,48230,22/12/2020 21:01:35,
-1.023374,1.711487,-33.8688,0,48230,22/12/2020 21:01:35,
-2.290532,2.143487,-33.69152,0,48230,22/12/2020 21:01:35,
-3.404793,1.951487,-33.5783,0,48230,22/12/2020 21:01:35,
-4.67854,1.247487,-33.45195,0,48230,22/12/2020 21:01:36,
-5.795481,0.2114875,-33.37044,0,48230,22/12/2020 21:01:36,
-6.657901,0.5468546,-33.37133,0,48230,22/12/2020 21:01:36,
-7.935447,1.690855,-33.45054,0,48230,22/12/2020 21:01:36,
-9.053456,2.082855,-33.51728,0,48230,22/12/2020 21:01:36,
-10.17264,1.938855,-33.55787,0,48230,22/12/2020 21:01:36,
-11.45129,1.298856,-33.51177,0,48230,22/12/2020 21:01:36,
-12.56966,0.3188559,-33.45348,0,48230,22/12/2020 21:01:37,
-13.41956,1.1682,-33.47117,0,48230,22/12/2020 21:01:37,
-14.53928,2.1162,-33.49532,0,48230,22/12/2020 21:01:37,
-15.81918,2.4802,-33.51143,0,48230,22/12/2020 21:01:37,
-16.93887,2.256201,-33.53659,0,48230,22/12/2020 21:01:37,
-18.21771,1.520201,-33.59097,0,48230,22/12/2020 21:01:37,
-18.92017,0.9826857,-33.62213,0,48230,22/12/2020 21:01:38,
-20.02648,2.062686,-33.66988,0,48230,22/12/2020 21:01:38,
-21.14626,2.846686,-33.69015,0,48230,22/12/2020 21:01:38,
-22.58619,2.998686,-33.6853,0,48230,22/12/2020 21:01:38,
-23.54295,2.686687,-33.61149,0,48230,22/12/2020 21:01:38,
-24.80616,1.822687,-33.40991,0,48230,22/12/2020 21:01:38,
-25.80268,0.6466872,-32.97644,0,48230,22/12/2020 21:01:38,
-26.20971,0.01651818,-32.76213,0,48230,22/12/2020 21:01:39,
-26.20971,0.01651818,-32.76213,0,48230,22/12/2020 21:01:39,
